Longitude,Latitude,datetime,UHI Index,distance_bronx,distance_manhattan,Air Temp at Surface [degC],Relative Humidity [percent],Avg Wind Speed [m/s],Wind Direction [degrees],Solar Flux [W/m^2],ISOURBID,ISO3,URBID,NAME,SCHNM,ES90POP,ES95POP,ES00POP,SQKM_FINAL,URB_D_MEAN,BUF_D_MEAN,D_T_DIFF,URB_N_MEAN,BUF_N_MEAN,N_T_DIFF,LATITUDE,LONGITUDE
-73.90916667,40.81310667,2021-07-24 15:53:00,1.030288903,6724.206139013116,6885.364329463045,27.002368306785627,47.00355246017844,2.995263386428743,180.31645622411378,613.0947322714251,,,,,,,,,,,,,,,,,
-73.90918667,40.813045,2021-07-24 15:53:00,1.030288903,6731.252572703224,6879.188832503047,27.00217386424724,47.00326079637087,2.9956522715055156,180.33152552083874,613.0869545698897,,,,,,,,,,,,,,,,,
-73.909215,40.81297833,2021-07-24 15:53:00,1.023797758,6738.98142458793,6872.130154302863,27.001956471063266,47.0029347065949,2.996087057873468,180.34837349259686,613.0782588425307,,,,,,,,,,,,,,,,,
-73.90924167,40.81290833,2021-07-24 15:53:00,1.023797758,6747.045473179939,6864.896876603065,27.001731588341986,47.002597382512974,2.9965368233160348,180.36580190349636,613.0692635336793,,,,,,,,,,,,,,,,,
-73.90925667,40.812845,2021-07-24 15:53:00,1.021634043,6754.18987586423,6858.878126158493,27.001538055202232,47.00230708280335,2.9969238895955357,180.380800721827,613.0615222080894,,,,,,,,,,,,,,,,,
-73.90928,40.81277667,2021-07-24 15:53:00,1.021634043,6762.016769518476,6851.9764436506375,27.00132157659731,47.001982364895966,2.997356846805385,180.39757781370866,613.0528630638923,,,,,,,,,,,,,,,,,
-73.90931167,40.81271,2021-07-24 15:53:00,1.015142899,6769.801276024862,6844.732866447777,27.00110075878673,47.001651138180094,2.9977984824265365,180.4146911940283,613.0440303514692,,,,,,,,,,,,,,,,,
-73.90934,40.81264333,2021-07-24 15:53:00,1.015142899,6777.5305275830915,6837.682574412707,27.000883600519195,47.001325400778796,2.9982327989616024,180.4315209597621,613.0353440207679,,,,,,,,,,,,,,,,,
-73.90936333,40.81256167,2021-07-24 15:53:00,1.012979184,6786.808931896777,6829.70296952396,27.000630029745324,47.00094504461798,2.9987399405093544,180.4511726947375,613.0252011898128,,,,,,,,,,,,,,,,,
-73.90938333,40.812485,2021-07-24 15:53:00,1.012979184,6795.48874315798,6822.323542906287,27.00039411322736,47.000591169841044,2.9992117735452775,180.46945622487948,613.0157645290944,,,,,,,,,,,,,,,,,
-73.90939333,40.81240333,2021-07-24 15:53:00,1.010815469,6804.546985058826,6815.117227772185,27.000155220313044,47.00023283046957,2.9996895593739117,180.4879704257391,613.0062088125218,,,,,,,,,,,,,,,,,
